Summary,Issue Type,Description,Priority,Labels,Component,Story Points,Original Estimate,Estimate Hours,Due Date,Target Sprint,Energy Level,Epic,MVP Stage
Create project charter,Task,"Goal: Define the mission, MVP goal, non-goals, success criteria, constraints, and completion definition.

Acceptance Criteria:
- Project charter exists in docs/project_charter.md
- MVP and non-goals are explicit
- Success criteria are testable

Output Artifact: docs/project_charter.md",High,setup,Phase 0 Setup,1,2700,0.75,2026-05-17,Sprint 0,Low,Project Setup,MVP
Create Jira Scrum-lite project,Task,"Goal: Create the Jira project and import this MVP backlog.

Acceptance Criteria:
- Project named Local Scriptorium exists
- Board has Backlog, Selected for Sprint, In Progress, Blocked, Review, Done
- Story points and original estimate are visible

Output Artifact: Jira board URL or screenshot",High,setup,Phase 0 Setup,1,2700,0.75,2026-05-17,Sprint 0,Low,Project Setup,MVP
Create repo and folder structure,Task,"Goal: Create a simple project workspace with folders for sources, chunks, outputs, evals, docs, decisions, and scripts.

Acceptance Criteria:
- Folder structure exists
- README stub exists
- No extra framework added yet

Output Artifact: Repo/folder screenshot or README",High,setup,Phase 0 Setup,1,1800,0.5,2026-05-17,Sprint 0,Low,Project Setup,MVP
Create decision log template,Task,"Goal: Create a reusable decision log for technical and product decisions.

Acceptance Criteria:
- decision_log.md exists
- Template includes date, context, options, decision, reason, consequences
- First decision recorded

Output Artifact: decisions/decision_log.md",Medium,setup,Phase 0 Setup,1,1800,0.5,2026-05-17,Sprint 0,Low,Project Setup,MVP
Validate imported Jira backlog,Task,"Goal: Confirm the imported backlog is usable and estimates are visible.

Acceptance Criteria:
- CSV import completed
- Ticket descriptions preserved
- Estimates mapped or documented as custom fields

Output Artifact: Screenshot or short setup note",Medium,setup,Phase 0 Setup,1,1800,0.5,2026-05-17,Sprint 0,Low,Project Setup,MVP
Install Ollama,Task,"Goal: Install Ollama locally as the easiest baseline for local inference.

Acceptance Criteria:
- Ollama installed
- Terminal command works
- Install notes saved

Output Artifact: docs/setup_notes.md",High,ollama,Phase 1 Local Inference,2,3600,1.0,2026-05-24,Sprint 1,Medium,Local Inference Baseline,MVP
Run first local model,Task,"Goal: Run a small local LLM and produce the first local answer.

Acceptance Criteria:
- Model pulled
- Prompt returns output
- Model name and command saved

Output Artifact: outputs/local_model_hello_world.md",High,local-inference,Phase 1 Local Inference,2,3600,1.0,2026-05-24,Sprint 1,Medium,Local Inference Baseline,MVP
Create 10 baseline prompts,Task,"Goal: Create a small prompt set for comparing local and cloud answers.

Acceptance Criteria:
- 10 prompts written
- Prompts cover summary, argument extraction, evidence, uncertainty, and refusal
- Prompts saved in evals folder

Output Artifact: evals/baseline_prompts.md",Medium,evals,Phase 1 Local Inference,2,3600,1.0,2026-05-24,Sprint 1,Medium,Local Inference Baseline,MVP
Save 10 baseline local outputs,Task,"Goal: Run the baseline prompts through the local model and save outputs.

Acceptance Criteria:
- All 10 prompts run locally
- Outputs saved with model name and date
- Obvious failures noted

Output Artifact: outputs/baseline_local_outputs.md",High,local-inference,Phase 1 Local Inference,2,5400,1.5,2026-05-24,Sprint 1,Medium,Local Inference Baseline,MVP
Compare local output vs ChatGPT,Task,"Goal: Run the same prompts through ChatGPT and compare quality, latency, and structure.

Acceptance Criteria:
- Same prompt set used
- Local vs cloud differences recorded
- At least 3 failure examples captured

Output Artifact: docs/local_vs_cloud_comparison.md",High,evals,Phase 1 Local Inference,3,7200,2.0,2026-05-24,Sprint 1,High,Local Inference Baseline,MVP
Write local inference baseline memo,Task,"Goal: Summarize what local inference means in practice after first hands-on testing.

Acceptance Criteria:
- Memo explains what worked
- Memo explains what failed
- Memo identifies next smallest step

Output Artifact: docs/day_1_local_inference_baseline.md",High,docs,Phase 1 Local Inference,2,3600,1.0,2026-05-24,Sprint 1,Medium,Local Inference Baseline,MVP
Select first source corpus,Task,"Goal: Choose the first 3 to 5 clean text sources for the MVP corpus.

Acceptance Criteria:
- 3 to 5 sources selected
- Sources are text or markdown
- Copyright/privacy status noted

Output Artifact: sources/source_selection.md",High,ingestion,Phase 2 Source Corpus,1,2700,0.75,2026-05-31,Sprint 2,Low,Source Corpus and Chunking,MVP
Create source metadata file,Task,"Goal: Create metadata for each source so chunks can be traced back later.

Acceptance Criteria:
- Metadata includes source_id, title, author, type, notes
- Every source has a stable ID
- File saved in sources folder

Output Artifact: sources/sources_metadata.csv",High,ingestion,Phase 2 Source Corpus,2,3600,1.0,2026-05-31,Sprint 2,Low,Source Corpus and Chunking,MVP
